iter	Passed	Remaining
0	4	4235
1	5	2700
2	6	2121
3	7	1818
4	8	1642
5	8	1472
6	9	1397
7	11	1409
8	14	1621
9	16	1640
10	19	1747
11	20	1675
12	21	1625
13	22	1605
14	23	1574
15	25	1545
16	26	1509
17	27	1477
18	27	1431
19	33	1621
20	34	1611
21	36	1624
22	37	1602
23	39	1608
24	40	1592
25	42	1585
26	43	1567
27	44	1545
28	45	1521
29	46	1505
30	48	1514
31	49	1508
32	51	1507
33	53	1509
34	54	1493
35	55	1476
36	57	1486
37	58	1490
38	60	1479
39	61	1464
40	61	1449
41	63	1437
42	64	1431
43	65	1416
44	66	1410
45	68	1415
46	70	1423
47	71	1427
48	73	1426
49	74	1422
50	76	1414
51	77	1408
52	78	1398
53	79	1385
54	80	1377
55	81	1371
56	82	1364
57	83	1355
58	84	1348
59	86	1350
60	87	1347
61	88	1341
62	89	1333
63	91	1334
64	92	1333
65	93	1326
66	94	1320
67	96	1315
68	97	1310
69	98	1307
70	99	1303
71	100	1298
72	101	1295
73	105	1320
74	106	1314
75	107	1310
76	109	1317
77	110	1310
78	111	1302
79	112	1296
80	113	1292
81	115	1290
82	116	1286
83	117	1279
84	118	1276
85	120	1279
86	121	1275
87	122	1269
88	123	1263
89	124	1263
90	126	1265
91	127	1260
92	128	1253
93	129	1251
94	130	1246
95	132	1243
96	133	1238
97	133	1233
98	134	1226
99	136	1231
100	138	1235
101	139	1231
102	140	1225
103	142	1226
104	143	1224
105	145	1225
106	146	1221
107	150	1240
108	151	1236
109	152	1235
110	154	1237
111	155	1235
112	157	1232
113	159	1242
114	161	1240
115	162	1236
116	163	1231
117	164	1229
118	166	1229
119	167	1227
120	168	1222
121	170	1225
122	171	1225
123	173	1223
124	174	1222
125	176	1226
126	177	1222
127	178	1217
128	179	1212
129	180	1209
130	182	1209
131	183	1206
132	184	1204
133	185	1201
134	187	1202
135	189	1206
136	190	1202
137	192	1201
138	193	1198
139	195	1199
140	196	1195
141	197	1192
142	198	1190
